Agency,State,Months,Population,ViolentCrimerate,Propertycrimerate
Midland Police Dept,TX,12,127344,319.6,2564.7
Milwaukee Police Dept,WI,12,600374,1484.7,4588.3
Minneapolis Police Dept,MN,12,404461,1012,4728
Miramar Police Dept,FL,12,132352,315.1,2077.8
Mobile Police Dept,AL,12,250655,593.6,4629.1
Modesto Police Dept,CA,12,205820,863.9,4427.7
Montgomery Police Dept,AL,12,200194,522.5,4508.1
Moreno Valley,CA,12,202911,287.8,3159
Murfreesboro Police Dept,TN,12,119005,535.3,3355.3
City Of Murrieta Police Dept,CA,12,108376,62.7,1345.3
Naperville Police Dept,IL,12,145510,77.7,1122.9
Nashville-Davidson Metro Police Dept,TN,12,647689,1125.4,3646.8
New Haven Police Dept,CT,12,130882,1088.8,3994.4
New Orleans Police Dept,LA,12,387113,973.9,4231.8
New York City Police Dept,NY,12,8473938,596.7,1601.9
Newark Police Dept,NJ,12,279110,1078.1,2851.2
Newport News Police Dept,VA,12,182374,428.8,3044.3
Norfolk Police Dept,VA,12,247078,520.1,3924.3
Norman Police Dept,OK,12,119956,160.1,2703.5
North Charleston Police Dept,SC,12,105594,723.5,5468.1
North Las Vegas Police Dept,NV,12,229436,776.7,2400.7
Norwalk,CA,12,106838,295.8,1872.9
Oakland Police Dept,CA,12,409994,1685.4,5943.3
Oceanside,CA,12,174102,374.5,2288.3
Odessa Police Dept,TX,12,113619,940,3711.5
Oklahoma City Police Dept,OK,12,617975,773.8,4410.9
Olathe Police Dept,KS,12,133341,75.7,1309.4
Omaha Police Dept,NE,12,438465,560.6,4345.4
Ontario Police Dept,CA,12,168278,256.1,2765.7
Orange Police Dept,CA,12,140767,100.9,1592
Orlando Police Dept,FL,12,259675,901.1,6359.9
City Of Overland Park Police Dept,KS,12,183108,178.6,1656.4
Oxnard Police Dept,CA,12,204159,433,3126
Palm Bay Police Dept,FL,12,105287,569.9,2114.2
Palmdale,CA,12,158210,530.9,2034.6
Pasadena Police Dept,CA,12,140373,280.7,2471.3
Pasadena Police Dept,TX,12,153540,384.9,3015.5
Paterson Police Dept,NJ,12,146083,816,2639.6
Pearland Police Dept,TX,12,102516,156.1,2017.2
Pembroke Pines Police Dept,FL,12,164372,168.5,2296.6
Peoria Police Dept,AZ,12,164722,148.1,2002.8
Peoria Police Dept,IL,12,116923,649.1,4154.9
Philadelphia Police Dept,PA,12,1559062,1021.4,3387.7
Phoenix Police Dept,AZ,12,1529852,571.9,3724.3
Pittsburgh,PA,12,307613,798.1,3212.8
Plano Police Dept,TX,12,277822,165.2,1982.6
Pomona Police Dept,CA,12,151899,511.5,2898.6
Pompano Beach Police Dept,FL,12,105523,823.5,4328.9
City Of Port St Lucie Police Dept,FL,12,172453,140.9,1448.5
Portland Police Dept,OR,12,615672,472.8,5234.8
Providence Police Dept,RI,12,178640,522.3,3840.1
Provo Police Dept,UT,12,117158,131.4,1906.8
Pueblo Police Dept,CO,12,108591,818.7,6530
Raleigh Police Dept,NC,5,438363,,
Rancho Cucamonga,CA,12,172694,163.9,2124
Reno Police Dept,NV,12,235055,488,2892.1
Rialto Police Dept,CA,12,102540,319.9,2100.6
Richardson Police Dept,TX,12,105744,169.3,2274.4
Richmond Police Dept,CA,12,108464,777.2,3946.9
Richmond (City) Bureau Of Police,VA,12,216747,583.2,3887.5
Riverside Police Dept,CA,12,319453,433.2,3087.8
Rochester Police Dept,MN,12,111712,,1989.9
Rochester Police Dept,NY,12,210347,849.5,4210.2
Rockford Police Dept,IL,12,149586,1245.4,4307.2
Roseville Police Dept,CA,12,128997,149.6,2379.9
Round Rock Police Dept,TX,12,112199,124.8,1951
Sacramento Police Dept,CA,12,482767,614.8,3123.2
Salem Police Dept,OR,12,162028,313.5,4366.5
Salinas Police Dept,CA,12,156908,635.4,3331.3
Salt Lake City Police Dept,UT,12,192368,754.8,8460.9
San Antonio Police Dept,TX,12,1428465,539.3,5417.8
San Bernardino Police Dept,CA,12,214588,991.7,4305.5
San Diego Police Dept,CA,12,1368690,380.9,1959
San Francisco Police Dept,CA,12,850294,795.1,5303.2
San Jose Police Dept,CA,12,1009679,321.1,2434.1
San Mateo Police Dept,CA,12,102082,225.3,1904.4
Santa Ana Police Dept,CA,12,336462,374.5,1719.1
Santa Clara Police Dept,CA,12,121114,133.8,2698.3
Santa Clarita,CA,12,206930,148.4,1177.7
Santa Maria Police Dept,CA,12,102885,426.7,2959.6
Santa Rosa Police Dept,CA,12,172991,367.6,2225.5
Savannah Police Dept,GA,12,236682,391.7,3594.3
Scottsdale Police Dept,AZ,12,229325,157.9,2311.6
Seattle Police Dept,WA,12,663410,603.7,6145.7
Shreveport Police Dept,LA,12,200184,721.3,4597.8
Simi Valley Police Dept,CA,12,126604,110.6,1278
Sioux Falls Police Dept,SD,12,167339,444.6,2958.1
South Bend Police Dept,IN,12,100853,685.2,4703.9
Spokane Police Dept,WA,12,211025,547.8,8559.2
Springfield Police Dept,IL,12,117134,1065.4,4725.4
Springfield Police Dept,MA,12,153766,1091.3,3841.6
